,best_cost,best_cost,best_cost,best_cost,best_cost
,mean,std,min,max,cv%
instance,,,,,
c101,69972.19,3605.4,66644.78,73802.73,5.15
c105,81049.12,7246.46,73061.88,87202.41,8.94
c201,397226.47,26503.57,368679.8,421052.56,6.67
c205,393466.83,57723.99,330981.73,444803.37,14.67
