,,best_cost,best_cost,best_cost,bks,gap_to_bks
,,mean,std,min,first,mean
dataset_type,instance,,,,,
c1,c101,69972.19,3605.4,66644.78,828.94,8341.16
c1,c105,81049.12,7246.46,73061.88,828.94,9677.44
c2,c201,397226.47,26503.57,368679.8,591.56,67048.97
c2,c205,393466.83,57723.99,330981.73,588.88,66716.13
